brand_raw,raw_text,url,size_hint_inch,price_hint_eur,price_local,currency,price_eur,platform,country,scraped_at,asin,elkjop_sku,model_year,filter_year,source_brand,fx_rate_date
Samsung,"Samsung HD Smart TV 32'' UE32H5000FKXZT HD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adaptive S...",https://www.amazon.it/dp/B0DF6NHYS6,32.0,163.11,163.11,EUR,163.11,Amazon,IT,2026-07-25T06:33:28Z,B0DF6NHYS6,,,,,
Samsung,"Samsung Full HD Smart TV 32'' UE32F6000FUXZT FHD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adap...",https://www.amazon.it/dp/B0F7LK6NJ8,32.0,190.98,190.98,EUR,190.98,Amazon,IT,2026-07-25T06:33:28Z,B0F7LK6NJ8,,,,,
Samsung,"Samsung Smart TV 32"" QE32Q5FAAUXZT QLED, Full HD, Real QLED, Quantum HDR, Contrast Enhancer, OTS Lite, Adaptive Sound, Gam...",https://www.amazon.it/dp/B0GWN3FQZ4,32.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0GWN3FQZ4,,,,,
Samsung,"Samsung Full HD Smart TV 24'' UE24F6000FUXZT, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adaptive...",https://www.amazon.it/dp/B0F7LM4MHT,24.0,140.16,140.16,EUR,140.16,Amazon,IT,2026-07-25T06:33:28Z,B0F7LM4MHT,,,,,
Samsung,"Samsung Crystal UHD 4K Smart TV 43'' UE43U7000FUXZT, Crystal 4K Processor, HDR, Smart Experience, OTS Lite & Adaptive Soun...",https://www.amazon.it/dp/B0F4T2KFZM,43.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0F4T2KFZM,,,,,
Samsung,"Samsung QE55Q60RATXZT Serie Q60R (2019) QLED Smart TV 55"", Ultra HD 4K, Wi-Fi, Nero",https://www.amazon.it/dp/B07PZXZNLJ,55.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B07PZXZNLJ,,,,,
Samsung,"Samsung TV UE32T5372CDXZT Full HD, Smart TV 32"" HDR, Purcolor, WiFi, Slim Design, Integrato con Bixby e Alexa compatibile ...",https://www.amazon.it/dp/B0BWFP79TV,32.0,187.7,187.7,EUR,187.7,Amazon,IT,2026-07-25T06:33:28Z,B0BWFP79TV,,,,,
Samsung,"Samsung Lifestyle TV QE32LS03CBUXZT The Frame QLED Full HD, Smart TV 32"" Matte Display, Art Mode, OTS Lite, Integrato con ...",https://www.amazon.it/dp/B0BWFPKGMZ,32.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0BWFPKGMZ,,,,,
Xiaomi,"XIAOMI TV F 32, 32 pollici (81 cm), HD, Smart TV, Fire TV,Triple Tuner DVB-C/S/S2/T/T2, Dolby Audio, DTS Virtual:X, DTS-H...",https://www.amazon.it/dp/B0F4548TCQ,32.0,113.93,113.93,EUR,113.93,Amazon,IT,2026-07-25T06:33:28Z,B0F4548TCQ,,,,,
Samsung,"Samsung Crystal UHD 4K Smart TV 50'' UE50U7000FUXZT, Crystal 4K Processor, HDR, Smart Experience, OTS Lite & Adaptive Soun...",https://www.amazon.it/dp/B0F4T26PSR,50.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0F4T26PSR,,,,,
Samsung,"Samsung TV N4300 Smart Tv 24”, Hd, Wi-Fi, 2020, Nero",https://www.amazon.it/dp/B086R1XMKR,24.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B086R1XMKR,,,,,
Samsung,"Samsung Lifestyle TV QE32LS03BBUXZT The Frame QLED Full HD, Smart TV 32"" Matte Display, Art Mode, OTS Lite, Integrato con ...",https://www.amazon.it/dp/B0BNFNWBBC,32.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0BNFNWBBC,,,,,
Samsung,"Samsung UE32N5370AUXZT TV 32"" Full HD DVB-C/T2/S2, Serie N5370, 1920 x 1080 Pixels, Nero, (2018)",https://www.amazon.it/dp/B07P5TM2LR,32.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B07P5TM2LR,,,,,
Panasonic,"Panasonic TB-24S40AEZC, Serie S40 24 pollici Smart TV LED HD, TiVo, Controllo Vocale Google e Alexa, Game Mode, Media Play...",https://www.amazon.it/dp/B0H2MQLH8S,24.0,146.72,146.72,EUR,146.72,Amazon,IT,2026-07-25T06:33:28Z,B0H2MQLH8S,,,,,
Samsung,"Samsung Smart TV 50"" UE50DU8070UXZT, Crystal UHD 4K, 4K Upscaling, Airslim Design, DVBT-2, Q-Symphony & Adaptive Sound, In...",https://www.amazon.it/dp/B0D2DV5CV6,50.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0D2DV5CV6,,,,,
Samsung,"Samsung TV UE32T4300AEXZT HD, Smart TV 32"" HDR, Purcolor, WiFi, Slim Design, Integrato con Bixby e Alexa compatibile con G...",https://www.amazon.it/dp/B0BWFLLW74,32.0,,,,,Amazon,IT,2026-07-25T06:33:28Z,B0BWFLLW74,,,,,
