brand_raw,raw_text,url,size_hint_inch,price_hint_eur,price_local,currency,price_eur,platform,country,scraped_at,asin,elkjop_sku,model_year,filter_year,source_brand,fx_rate_date
Samsung,"Samsung Full HD Smart TV 32'' UE32F6000FUXZT FHD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adap...",https://www.amazon.it/dp/B0F7LK6NJ8,32.0,163.52,163.52,EUR,163.52,Amazon,IT,2026-07-23T06:46:44Z,B0F7LK6NJ8,,,,,
Samsung,"Samsung Full HD Smart TV 24'' UE24F6000FUXZT, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adaptive...",https://www.amazon.it/dp/B0F7LM4MHT,24.0,140.16,140.16,EUR,140.16,Amazon,IT,2026-07-23T06:46:44Z,B0F7LM4MHT,,,,,
Samsung,"Samsung Smart TV 50'' UE50U7000FUXZT Crystal UHD 4K, Crystal 4K Processor, Per Intrattenimento e Sport, HDR, Motion Xceler...",https://www.amazon.it/dp/B0F4T26PSR,50.0,,,,,Amazon,IT,2026-07-23T06:46:44Z,B0F4T26PSR,,,,,
Samsung,"Samsung HD Smart TV 32'' UE32H5000FKXZT HD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adaptive S...",https://www.amazon.it/dp/B0DF6NHYS6,32.0,163.11,163.11,EUR,163.11,Amazon,IT,2026-07-23T06:46:44Z,B0DF6NHYS6,,,,,
Samsung,"Samsung Smart TV 32"" QE32Q5FAAUXZT QLED, Full HD, Real QLED, Quantum HDR, Contrast Enhancer, OTS Lite, Adaptive Sound, Gam...",https://www.amazon.it/dp/B0GWN3FQZ4,32.0,,,,,Amazon,IT,2026-07-23T06:46:44Z,B0GWN3FQZ4,,,,,
Samsung,"Samsung Crystal UHD 4K Smart TV 43'' UE43U7000FUXZT, Crystal 4K Processor, HDR, Smart Experience, OTS Lite & Adaptive Soun...",https://www.amazon.it/dp/B0F4T2KFZM,43.0,,,,,Amazon,IT,2026-07-23T06:46:44Z,B0F4T2KFZM,,,,,
Samsung,"Samsung Smart TV 65'' UE65U8090FUXZT Crystal UHD 4K, Crystal 4K Processor, Per Intrattenimento e Sport, HDR, Smart Experie...",https://www.amazon.it/dp/B0F4SYKX5G,65.0,,,,,Amazon,IT,2026-07-23T06:46:44Z,B0F4SYKX5G,,,,,
Samsung,"Samsung TV UE32T5372CDXZT Full HD, Smart TV 32"" HDR, Purcolor, WiFi, Slim Design, Integrato con Bixby e Alexa compatibile ...",https://www.amazon.it/dp/B0BWFP79TV,32.0,187.7,187.7,EUR,187.7,Amazon,IT,2026-07-23T06:46:44Z,B0BWFP79TV,,,,,
Xiaomi,"XIAOMI TV F 32, 32 pollici (81 cm), HD, Smart TV, Fire TV,Triple Tuner DVB-C/S/S2/T/T2, Dolby Audio, DTS Virtual:X, DTS-H...",https://www.amazon.it/dp/B0F4548TCQ,32.0,113.93,113.93,EUR,113.93,Amazon,IT,2026-07-23T06:46:44Z,B0F4548TCQ,,,,,
Samsung,"Samsung Lifestyle TV QE32LS03CBUXZT The Frame QLED Full HD, Smart TV 32"" Matte Display, Art Mode, OTS Lite, Integrato con ...",https://www.amazon.it/dp/B0BWFPKGMZ,32.0,,,,,Amazon,IT,2026-07-23T06:46:44Z,B0BWFPKGMZ,,,,,
Panasonic,"Panasonic TB-32S45AEZC, Serie S45 32 pollici Smart TV LED Full HD, TiVo, Controllo Vocale Google e Alexa, Game Mode, Media...",https://www.amazon.it/dp/B0H2MTPSGX,32.0,154.92,154.92,EUR,154.92,Amazon,IT,2026-07-23T06:46:44Z,B0H2MTPSGX,,,,,
Panasonic,"Panasonic TB-40S45AEZC, Serie S45 40 pollici Smart TV LED Full HD, TiVo, Controllo Vocale Google e Alexa, Game Mode, Media...",https://www.amazon.it/dp/B0H2MVR2WW,40.0,187.7,187.7,EUR,187.7,Amazon,IT,2026-07-23T06:46:44Z,B0H2MVR2WW,,,,,
Samsung,Samsung QE32Q5FAAUXZT - Smart TV 32 Pollici Full HD QLED DVB-T2 CI+ HbbTV Classe Energetica F,https://www.amazon.it/dp/B0H4MHNH14,32.0,,,,,Amazon,IT,2026-07-23T06:46:44Z,B0H4MHNH14,,,,,
Xiaomi,"XIAOMI TV F Pro 32, 32 pollici (81 cm), QLED, Smart TV, Fire TV, Triple Tuner DVB-C/S/S2/T/T2,Dolby Audio, DTS Virtual:X, ...",https://www.amazon.it/dp/B0F457M449,32.0,130.33,130.33,EUR,130.33,Amazon,IT,2026-07-23T06:46:44Z,B0F457M449,,,,,
Panasonic,"Panasonic TB-24S40AEZC, Serie S40 24 pollici Smart TV LED HD, TiVo, Controllo Vocale Google e Alexa, Game Mode, Media Play...",https://www.amazon.it/dp/B0H2MQLH8S,24.0,138.52,138.52,EUR,138.52,Amazon,IT,2026-07-23T06:46:44Z,B0H2MQLH8S,,,,,
