brand_raw,raw_text,url,size_hint_inch,price_hint_eur,platform,country,scraped_at
TCL,TCL TV LED TCL 75P6L 2026 (191cm),https://www.boulanger.com/ref/1240165,75,799.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 55A400U (140cm),https://www.boulanger.com/ref/1240597,55,849.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,Exclusivité internet  TCL TV QLED TCL NXTVISION 65A300W-65 pouces (164cm),https://www.boulanger.com/ref/1211410,65.0,899.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 65P89L (165cm),https://www.boulanger.com/ref/1240583,65,999.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV QLED TCL 75P79L (191cm),https://www.boulanger.com/ref/1240581,75,999.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 65C69K PRO (165cm),https://www.boulanger.com/ref/1240586,65,999.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL SQD 55C79L 2026 - 55 pouces ( 139 cm ),https://www.boulanger.com/ref/1238878,55.0,1099.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV QLED TCL NXTVISION 65A300 PRO-65 pouces (164cm),https://www.boulanger.com/ref/1211411,65.0,1099.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,Exclusivité internet  TCL TV QLED TCL NXTVISION 75A300 PRO-75 pouces (189cm),https://www.boulanger.com/ref/1211414,75.0,1351.99,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 75C69K PRO (191cm),https://www.boulanger.com/ref/1240587,75,1599.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL SQD 65C89L 2026 - 65 pouces ( 164 cm ),https://www.boulanger.com/ref/1238872,65.0,1799.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 85C69K PRO (216cm),https://www.boulanger.com/ref/1240588,85,1799.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL SQD 75C79L 2026 - 75 pouces ( 189 cm ),https://www.boulanger.com/ref/1238876,75.0,1999.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,Exclusivité internet  TCL TV Mini LED TCL 85C69K 2025-85 pouces (215cm),https://www.boulanger.com/ref/1218995,85.0,1999.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 85A400 PRO (216cm),https://www.boulanger.com/ref/1240595,85,1999.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TCL TV Mini LED TCL 85A400U (216cm),https://www.boulanger.com/ref/1240602,85,1999.0,Boulanger,FR,2026-06-19T16:15:03Z
