brand_raw,raw_text,url,size_hint_inch,price_hint_eur,platform,country,scraped_at
LG,lg qned70 50 qned ai 4k hdr smart tv 2025 50qned70a6a 10291905.html,https://www.currys.co.uk/products/lg-qned70-50-qned-ai-4k-hdr-smart-tv-2025-50qned70a6a-10291905.html,50.0,319.0,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt43ct450 43 smart full hd hdr led tv 10275819.html,https://www.currys.co.uk/products/jvc-lt43ct450-43-smart-full-hd-hdr-led-tv-10275819.html,43.0,189.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung s85f 55 oled 4k vision ai smart tv 2025 qe55s85f 10283612.html,https://www.currys.co.uk/products/samsung-s85f-55-oled-4k-vision-ai-smart-tv-2025-qe55s85f-10283612.html,55.0,799.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense e7q pro 55 qled 4k hdr smart tv with freely 55e7qtuk pro 10283600.html,https://www.currys.co.uk/products/hisense-e7q-pro-55-qled-4k-hdr-smart-tv-with-freely-55e7qtuk-pro-10283600.html,55.0,445.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg b5 48 oled ai 4k hdr smart tv 2025 oled48b56la 10282097.html,https://www.currys.co.uk/products/lg-b5-48-oled-ai-4k-hdr-smart-tv-2025-oled48b56la-10282097.html,48.0,679.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia kd32w800p1u 32 smart hd ready hdr led tv with google assistant 10246564.html,https://www.currys.co.uk/products/sony-bravia-kd32w800p1u-32-smart-hd-ready-hdr-led-tv-with-google-assistant-10246564.html,32.0,299.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 3 43 led 4k hdr ai smart tv k43s38bp 10282778.html,https://www.currys.co.uk/products/sony-bravia-3-43-led-4k-hdr-ai-smart-tv-k43s38bp-10282778.html,43.0,449.0,Currys,GB,2026-06-22T10:23:58Z
Sharp,sharp 1tc32hd2725kb roku tv 32 smart hd ready hdr led tv 10283832.html,https://www.currys.co.uk/products/sharp-1tc32hd2725kb-roku-tv-32-smart-hd-ready-hdr-led-tv-10283832.html,32.0,139.99,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung qn90f 50 neo qled 4k mini led vision ai smart tv 2025 qe50qn90f 10282669.html,https://www.currys.co.uk/products/samsung-qn90f-50-neo-qled-4k-mini-led-vision-ai-smart-tv-2025-qe50qn90f-10282669.html,50.0,689.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg qned86 43 qned ai mini led 4k hdr smart tv 2026 43qned86b6b 10301869.html,https://www.currys.co.uk/products/lg-qned86-43-qned-ai-mini-led-4k-hdr-smart-tv-2026-43qned86b6b-10301869.html,43.0,599.99,Currys,GB,2026-06-22T10:23:58Z
TCL,tcl 43pf650k fire tv 43 smart 4k ultra hd hdr led tv with amazon alexa 10268414.html,https://www.currys.co.uk/products/tcl-43pf650k-fire-tv-43-smart-4k-ultra-hd-hdr-led-tv-with-amazon-alexa-10268414.html,43.0,199.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg ua75 50 led 4k hdr smart tv 2025 50ua75006la 10282146.html,https://www.currys.co.uk/products/lg-ua75-50-led-4k-hdr-smart-tv-2025-50ua75006la-10282146.html,50.0,274.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg nano81a 55 nanocell ai 4k hdr smart tv 2025 55nano81a6a 10282135.html,https://www.currys.co.uk/products/lg-nano81a-55-nanocell-ai-4k-hdr-smart-tv-2025-55nano81a6a-10282135.html,55.0,379.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg ua75 43 led 4k hdr smart tv 2025 43ua75006la 10282130.html,https://www.currys.co.uk/products/lg-ua75-43-led-4k-hdr-smart-tv-2025-43ua75006la-10282130.html,43.0,229.99,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung s95f 55 oled glare free 4k vision ai smart tv 2025 qe55s95f 10282689.html,https://www.currys.co.uk/products/samsung-s95f-55-oled-glare-free-4k-vision-ai-smart-tv-2025-qe55s95f-10282689.html,55.0,1375.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense e7q pro 50 qled 4k hdr smart tv with freely 50e7qtuk pro 10287487.html,https://www.currys.co.uk/products/hisense-e7q-pro-50-qled-4k-hdr-smart-tv-with-freely-50e7qtuk-pro-10287487.html,50.0,395.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung s90f 55 oled 4k vision ai smart tv 2025 qe55s90f 10284860.html,https://www.currys.co.uk/products/samsung-s90f-55-oled-4k-vision-ai-smart-tv-2025-qe55s90f-10284860.html,55.0,1099.0,Currys,GB,2026-06-22T10:23:58Z
