brand,model,country,platform,url,active
Samsung,50U8005F,IT,Amazon,https://www.amazon.it/dp/B0FM98T47Y,true
LG,50QNED80A,IT,Amazon,https://www.amazon.it/dp/B0F5HXLLJS,true
LG,55NANO80A6B,IT,Amazon,https://www.amazon.it/dp/B0F5HWXW9R,true
LG,48B5,IT,Amazon,https://www.amazon.it/dp/B0F44FZ1PT,true
LG,43QNED80A,IT,Amazon,https://www.amazon.it/dp/B0F5HXV6S6,true
LG,65QNED70A,IT,Amazon,https://www.amazon.it/dp/B0FRSCV48L,true
LG,43NU8E0B,IT,Amazon,https://www.amazon.it/dp/B0GWMXV6J1,true
LG,55C5,IT,Amazon,https://www.amazon.it/dp/B0F6VC2K28,true
LG,42C5,IT,Amazon,https://www.amazon.it/dp/B0F44KKWT6,true
LG,43NANO80A6B,IT,Amazon,https://www.amazon.it/dp/B0F5HVVS8Q,true
LG,55QNED85A,IT,Amazon,https://www.amazon.it/dp/B0F6VMCFDL,true
LG,43QNED85B,IT,Amazon,https://www.amazon.it/dp/B0GWN3FKJZ,true
LG,43UA7500,IT,Amazon,https://www.amazon.it/dp/B0F6V7PXXK,true
LG,55UA7500,IT,Amazon,https://www.amazon.it/dp/B0F6VH6R37,true
LG,55G6,IT,Amazon,https://www.amazon.it/dp/B0GWMTXL1G,true
LG,55QNED80A,IT,Amazon,https://www.amazon.it/dp/B0F556SYCJ,true
LG,42C6,IT,Amazon,https://www.amazon.it/dp/B0GWMY3R9W,true
LG,55G5,IT,Amazon,https://www.amazon.it/dp/B0F44B6XV3,true
LG,50QNED70B,IT,Amazon,https://www.amazon.it/dp/B0GWN5NDL7,true
LG,55QNED70A,IT,Amazon,https://www.amazon.it/dp/B0FRSG74G3,true
LG,65MRGB87B9B,IT,Amazon,https://www.amazon.it/dp/B0GWN42J5H,true
LG,43NANO81A6A,IT,Amazon,https://www.amazon.it/dp/B0FFH1FK6M,true
LG,55UA7500,IT,Amazon,https://www.amazon.it/dp/B0FQPD9NJ7,true
