Date,Time,Brand,Product Name,Country,Platform,Price,Currency,Page Title,Status,Price_Trend,Quarantine Reason
2026-08-17,05:53:45,LG,50QNED85B,FR,Boulanger,399.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,LG,65G6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,LG,48C6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,LG,55MRGB86B6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,TCL,65C7L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,TCL,65C8L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,TCL,55C8L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-18,05:48:41,TCL,75X11L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,LG,65G6,FR,Boulanger,399.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,LG,50QNED85B,FR,Boulanger,399.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,LG,48C6,FR,Boulanger,399.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,LG,55MRGB86B6,FR,Boulanger,399.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,TCL,65C7L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,TCL,65C8L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
